INFO 2025-05-29 09:59:32,419 - Launching Wezel!
WARNING 2025-05-29 10:00:53,873 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:53,982 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,811 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,827 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,859 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,874 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,906 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,936 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,955 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:55,982 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,000 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,028 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,046 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,061 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,092 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,107 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,139 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,154 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,186 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,201 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,233 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,264 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,279 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,311 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,327 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,358 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,404 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,436 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,451 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,482 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,498 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,686 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,717 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,732 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,764 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,780 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,795 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,826 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:00:56,842 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:02,983 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:02,999 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,030 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,046 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,078 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,093 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,108 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,140 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,159 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,196 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,218 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,243 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,280 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,311 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,327 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,389 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,405 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,420 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,529 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,561 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,576 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,592 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,623 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,639 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,670 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,686 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,717 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,733 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,764 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,795 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,811 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,842 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:03,967 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,029 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,045 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,092 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,107 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,139 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,155 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,201 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,233 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,373 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,404 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 10:01:04,420 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
